,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Clusters,InProbability,OutProbability,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating,TrueDiff,ELODiff,RatingError,HomeDiff,AwayDiff,TotalDiff,ClusterHome,ClusterAway,Init_Rounds,Split_Rounds
27877162,27877162,41,101,0,179,home,0.43-0.28-0.28,0.45-0.28-0.27,15,10,1.0,1.0,0.18737207319998134,949.6263277661377,945.7142335957624,967.1072166010173,950.4834254690567,3.912094170375326,16.623791131960616,12.71169696158529,-17.48088883487958,-4.7691918732942895,22.25008070817387,1,1,79,198
27877182,27877182,51,111,0,179,home,0.44-0.28-0.27,0.58-0.24-0.18,15,10,1.0,1.0,0.1029706329569248,872.7670939897473,860.1969655726804,941.570284097058,836.1357224799556,12.57012841706694,105.43456161710242,92.86443320003548,-68.80319010731068,24.061243092724794,92.86443320003548,1,1,79,198
27877201,27877201,61,121,0,179,home,0.58-0.24-0.18,0.33-0.29-0.37,15,10,1.0,1.0,0.2911743386548256,1080.1437239836098,974.4745399477713,1027.9050899566948,1092.2222099205458,105.6691840358385,-64.31711996385093,41.35206407198757,52.23863402691495,-117.74766997277447,169.98630399968943,1,1,79,198
27877211,27877211,71,131,0,179,home,0.71-0.18-0.11,0.65-0.21-0.14,15,10,1.0,1.0,0.07277405971952552,1037.8171020011598,841.0547173085257,1036.1757340154636,886.0629352503591,196.7623846926341,150.11279876510446,46.64958592752964,1.6413679856962062,-45.008217941833436,46.64958592752964,1,1,79,198
27877221,27877221,81,141,0,179,home,0.08-0.15-0.77,0.11-0.18-0.70,15,10,1.0,1.0,0.6410802499952648,841.7560117406919,1189.0889773658905,877.7432090464099,1171.692277939491,-347.33296562519865,-293.9490688930812,53.38389673211748,-35.98719730571804,17.396699426399437,53.38389673211748,1,1,79,198
27877231,27877231,91,151,0,179,draw,0.39-0.29-0.32,0.50-0.27-0.23,15,10,1.0,1.0,0.1527056654632619,1051.8339952233816,1076.025082264938,1073.8917207376833,1022.0853643082227,-24.19108704155633,51.80635642946061,27.615269387904277,-22.057725514301637,53.9397179567153,75.99744347101694,1,1,79,198
27877561,27877561,31,1,0,183,away,0.49-0.27-0.24,0.59-0.24-0.17,15,10,1.0,1.0,0.5173184567966477,1218.1998425621455,1172.4880659955065,1215.4398889225752,1103.9049641691452,45.711776566638946,111.53492475343,65.82314818679106,2.7599536395703126,68.58310182636137,71.34305546593168,1,1,79,198
27877581,27877581,21,11,0,183,away,0.44-0.28-0.28,0.50-0.27-0.23,15,10,1.0,1.0,0.4208876254580058,1114.4393915084352,1106.1677235882646,1140.9215571877744,1090.5570373423832,8.271667920170557,50.364519845391214,42.09285192522066,-26.482165679339232,15.610686245881425,42.09285192522066,1,1,79,198
27877676,27877676,101,31,0,184,away,0.13-0.20-0.67,0.14-0.21-0.64,15,10,1.0,1.0,0.0732832590398418,953.9270936791324,1225.008026414961,954.9272926515137,1204.1787866827785,-271.0809327358286,-249.25149403126488,21.8294387045637,-1.000198972381213,20.829239732182486,21.8294387045637,1,1,79,198
27877686,27877686,111,41,0,184,away,0.29-0.29-0.42,0.26-0.28-0.47,15,10,1.0,1.0,0.17583594800229765,868.1142959231661,966.8981558382848,837.3033655083757,964.2903857707917,-98.78385991511868,-126.98702026241597,28.203160347297285,30.81093041479039,2.6077700674931066,33.4187004822835,1,1,79,198
27877696,27877696,121,51,0,184,home,0.57-0.25-0.19,0.62-0.22-0.15,15,10,1.0,1.0,0.08333772437063706,978.8607399237536,885.1864000498207,1077.647015217726,944.5270301176503,93.67433987393292,133.11998510007572,39.4456452261428,-98.78627529397238,-59.34063006782958,158.12690536180196,1,1,79,198
27877706,27877706,131,61,0,184,away,0.15-0.22-0.63,0.22-0.26-0.52,15,10,1.0,1.0,0.13873468345413226,822.9523266637688,1059.3226340791005,862.1874333949754,1025.663719111357,-236.3703074153317,-163.47628571638165,72.89402169895004,-39.235106731206656,33.658914967743385,72.89402169895004,1,1,79,198
27877716,27877716,141,71,0,184,away,0.67-0.20-0.13,0.65-0.21-0.14,15,10,1.0,1.0,0.577395811175357,1183.4117144306545,1018.4824901249536,1174.2907398434347,1023.7949220729057,164.9292243057008,150.49581777052902,14.433406535171798,9.120974587219735,-5.312431947952064,14.433406535171798,1,1,79,198
27877726,27877726,151,81,0,184,home,0.77-0.15-0.08,0.58-0.24-0.18,15,10,1.0,1.0,0.10194517441840954,1101.8482919519297,846.9828256571461,1012.7362988755448,905.9565229815953,254.86546629478357,106.77977589394948,148.0856904008341,89.11199307638492,-58.97369732444918,148.0856904008341,1,1,79,198
27877742,27877742,161,91,0,184,home,0.28-0.28-0.44,0.34-0.29-0.37,15,10,1.0,1.0,0.2859010073031024,966.5452492806148,1074.4376804770613,1027.7135795555157,1088.2892483235787,-107.89243119644652,-60.575668768063,47.31676242838353,-61.16833027490088,-13.851567846517355,75.01989812141824,1,1,79,198
27878070,27878070,1,21,0,188,home,0.52-0.26-0.22,0.41-0.29-0.30,15,10,1.0,1.0,0.22123691034126106,1186.675218321182,1124.422657141935,1116.8939945764155,1128.7415729825661,62.252561179247095,-11.84757840615066,50.404982773096435,69.78122374476652,-4.3189158406312345,74.10013958539776,1,1,79,198
27878162,27878162,21,101,0,189,home,0.69-0.19-0.12,0.68-0.20-0.13,15,10,1.0,1.0,0.05993809623289955,1120.5872523925407,936.9252241726027,1122.6941777098787,949.1209526910401,183.66202821993795,173.57322501883857,10.088803201099381,-2.106925317337982,-12.195728518437363,14.302653835775345,1,1,79,198
27878181,27878181,31,111,0,189,home,0.85-0.10-0.05,0.88-0.08-0.04,15,10,1.0,1.0,0.008007546905689127,1215.5803166525811,875.8157283021118,1213.083466376634,831.3562656149077,339.76458835046935,381.7272007617264,41.962612411257055,2.496850275947054,44.45946268720411,46.95631296315116,1,1,79,198
27878191,27878191,41,121,0,189,home,0.40-0.29-0.32,0.31-0.29-0.40,15,10,1.0,1.0,0.3132959434516937,958.1512824214134,979.195157993589,974.7869490653557,1054.5152939375607,-21.04387557217558,-79.72834487220507,58.68446930002949,-16.635666643942272,-75.32013594397176,91.95580258791404,1,1,79,198
