,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Variance,Density,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating
16213,16213,0,41,0,357,home,0.70-0.19-0.12,0.66-0.21-0.14,15,0,0.4526130653266332,0.067780217624851,1001.8223464058076,812.4012877020207,1016.0905714273937,857.2713449339587
16479,16479,0,35,0,363,draw,0.48-0.27-0.25,0.49-0.27-0.24,15,0,0.4526130653266332,0.14871114935100618,1007.5736817513181,971.8409831293538,1019.1183642625588,975.407479104868
16908,16908,0,25,0,373,draw,0.42-0.29-0.30,0.41-0.29-0.30,15,0,0.4526130653266332,0.12950313932741964,1005.063378254554,1012.0636022575383,1024.392520001862,1036.3009363506799
17002,17002,0,23,0,375,away,0.41-0.29-0.30,0.35-0.29-0.36,15,0,0.4526130653266332,0.27032487118414783,1003.0248674461992,1010.5816981290525,1028.5543015705955,1079.2037756633729
17094,17094,0,21,0,377,home,0.47-0.28-0.25,0.46-0.28-0.26,15,0,0.4526130653266332,0.18074815459350774,1011.6860006704128,982.854343498834,1020.4222224272992,997.8956658182417
17352,17352,0,15,0,383,away,0.20-0.26-0.54,0.40-0.29-0.31,15,0,0.4526130653266332,0.31324160756211405,1000.6116449838366,1176.5495359789948,1044.3180861816645,1064.627078893863
17441,17441,0,13,0,385,away,0.34-0.29-0.37,0.52-0.26-0.22,15,0,0.4526130653266332,0.4425561759278223,1000.7254940094897,1061.9535933784925,1042.546462678497,978.4223381483432
17619,17619,0,9,0,389,draw,0.42-0.29-0.29,0.44-0.28-0.28,15,0,0.4526130653266332,0.13448984642619616,990.0432400221057,994.1401478040464,1023.1152318220867,1015.5714041597798
17710,17710,0,7,0,391,draw,0.26-0.28-0.47,0.40-0.29-0.31,15,0,0.4526130653266332,0.12793755577732313,975.3399458425597,1103.9377512401966,1021.2644500554663,1041.7204969760096
17868,17868,0,3,0,395,away,0.51-0.27-0.22,0.57-0.25-0.19,15,0,0.4526130653266332,0.4913663242485386,969.7948671328586,912.2011523749866,1015.7203816989543,920.6962909542253
17960,17960,0,1,0,397,home,0.69-0.19-0.12,0.76-0.16-0.09,15,0,0.4526130653266332,0.0335879631852287,969.9794827838167,789.5244473782251,1004.7323647780477,765.9180475387866
18328,18328,0,107,0,7,draw,0.48-0.27-0.24,0.42-0.29-0.29,17,0,0.4526130653266332,0.131433763336455,928.8940309918147,891.2758531745094,1005.4621988837746,1008.9029261223873
18497,18497,0,111,0,11,draw,0.16-0.23-0.61,0.43-0.28-0.28,17,0,0.4526130653266332,0.13332727360893484,924.6271876652164,1149.4061370578593,1003.6189171108514,1000.0
18665,18665,0,115,0,15,home,0.24-0.27-0.49,0.41-0.29-0.30,17,0,0.4526130653266332,0.2221802756727025,921.3762254555894,1067.9171494604254,1003.509352864282,1016.114784878498
18759,18759,0,117,0,17,draw,0.21-0.26-0.54,0.42-0.29-0.30,17,0,0.4526130653266332,0.13098401362749826,926.3159572546659,1100.1810798406948,1010.3809203755702,1015.6550985496381
18942,18942,0,121,0,21,home,0.45-0.28-0.27,0.45-0.28-0.27,17,0,0.4526130653266332,0.1889290397616408,912.4382710249513,893.193854986246,1020.7003083057424,1005.4462178985536
19040,19040,0,123,0,23,away,0.38-0.29-0.33,0.51-0.27-0.23,17,0,0.4526130653266332,0.4279781473144135,896.9985498272373,928.425097528744,1026.9266047608428,972.0519720573005
19225,19225,0,127,0,27,away,0.06-0.11-0.83,0.39-0.29-0.32,17,0,0.4526130653266332,0.31199012895412964,922.8672946450816,1332.3889055835655,1015.2832387105786,1036.45285841173
19419,19419,0,131,0,31,away,0.17-0.23-0.60,0.41-0.29-0.30,17,0,0.4526130653266332,0.3308043665767591,916.3222628189113,1136.1578605652553,1007.0622927945053,1015.4194307721518
19514,19514,0,133,0,33,draw,0.17-0.24-0.59,0.42-0.29-0.29,17,0,0.4526130653266332,0.13147848115957006,922.8504887945883,1135.536162834797,990.7547887206972,994.0170128791634
19613,19613,0,135,0,35,away,0.29-0.29-0.42,0.43-0.29-0.29,17,0,0.4526130653266332,0.3435872063725531,917.5908686145993,1013.638462704762,988.90734570937,988.6988024535657
19776,19776,0,139,0,39,away,0.22-0.26-0.51,0.35-0.29-0.36,17,0,0.4526130653266332,0.2633760069903473,926.2335690359979,1086.1967233240705,980.119982364788,1035.8685208093325
19868,19868,0,141,0,41,away,0.21-0.26-0.53,0.33-0.29-0.38,17,0,0.4526130653266332,0.2451663512995673,925.4631902431469,1094.4363097143596,980.6125820717157,1050.0265093188746
20033,20033,0,145,0,45,draw,0.36-0.29-0.35,0.40-0.29-0.31,17,0,0.4526130653266332,0.12805989708710686,934.594076771626,980.9760611069316,960.6425495487559,980.3453295458286
20136,20136,0,147,0,47,home,0.27-0.28-0.44,0.30-0.29-0.41,17,0,0.4526130653266332,0.3324585837061889,925.6554779954756,1037.766214348515,953.6879277090566,1046.44519404092
20327,20327,0,151,0,51,away,0.21-0.26-0.53,0.32-0.29-0.39,17,0,0.4526130653266332,0.24050114695336816,938.7213089399893,1109.0752577557557,973.9485016908077,1046.9409380549569
20427,20427,0,153,0,53,away,0.06-0.12-0.81,0.24-0.27-0.48,17,0,0.4526130653266332,0.16398659798203646,945.6893993069524,1340.493888730302,965.2770851241178,1103.3429281684575
20522,20522,0,155,0,55,draw,0.37-0.29-0.34,0.41-0.29-0.30,17,0,0.4526130653266332,0.12959730462756475,946.3788439927499,984.9598600926784,958.1845838970296,969.6381110107387
20794,20794,0,161,0,61,away,0.29-0.28-0.43,0.37-0.29-0.34,17,0,0.4526130653266332,0.28214494761784625,928.3725907297484,1031.0860649465226,952.0123921619268,994.1191534371252
20900,20900,0,163,0,63,away,0.42-0.29-0.30,0.41-0.29-0.30,17,0,0.4526130653266332,0.32453825742353315,922.3628294285287,927.3160859629984,937.482570476326,950.0780566540587
21451,21451,0,175,0,75,away,0.52-0.26-0.22,0.44-0.28-0.28,17,0,0.4526130653266332,0.3535951336147911,909.2055916551437,847.1859997006308,939.2054206759047,932.3589476501476
21544,21544,0,177,0,77,home,0.63-0.22-0.15,0.43-0.28-0.29,17,0,0.4526130653266332,0.2031370304659311,913.3605035429463,774.7472918056629,941.0528786402864,938.0103280895537
21641,21641,0,179,0,79,draw,0.27-0.28-0.45,0.40-0.29-0.31,17,0,0.4526130653266332,0.1281484415791703,911.0553742698497,1024.9333424234892,952.7605480410907,971.9294570984968
21734,21734,0,181,0,81,home,0.49-0.27-0.24,0.51-0.27-0.22,17,0,0.4526130653266332,0.1454456422258519,915.6584276192436,872.4027338008107,947.9343376697847,891.4834732886612
21834,21834,0,183,0,83,home,0.19-0.25-0.56,0.25-0.28-0.47,17,0,0.4526130653266332,0.3926955742899579,917.8300422274041,1106.9774197239094,953.2577388637748,1085.5792816369865
22011,22011,0,187,0,87,away,0.36-0.29-0.35,0.45-0.28-0.27,17,0,0.4526130653266332,0.3694256091435625,904.0548838101648,950.7215833336712,963.0281941834533,945.7884791418313
22283,22283,0,193,0,93,away,0.29-0.29-0.43,0.27-0.28-0.45,17,0,0.4526130653266332,0.18429579785130112,912.2281549255824,1012.5806699352856,947.8723162178404,1067.2219835876963
22472,22472,0,197,0,97,home,0.31-0.29-0.41,0.34-0.29-0.36,17,0,0.4526130653266332,0.2816142442986994,917.224025086088,1003.4544069973932,940.3309093128161,997.8439324423426
22748,22748,0,96,0,103,draw,0.15-0.22-0.62,0.21-0.26-0.54,17,0,0.4526130653266332,0.16494044932836058,919.8604609527107,1154.4478104324921,953.722149693743,1127.6074271925374
22918,22918,0,92,0,107,away,0.21-0.26-0.53,0.29-0.29-0.43,17,0,0.4526130653266332,0.2063106965972472,918.5736782816267,1088.0110514260232,966.8083505432414,1067.18932834335
